Signature,Timestamp,Whale_Address,Rejection_Reason
"2C5B3bNR9XC5ikd1gtP5YXQVDTHr8bjamHUeNZcieXgcxGRZ9qoyhp2T7qgKbrPSVBCWL95Lj91aM9yGVkFzw1sw","2026-02-04T15:51:29.157Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"42RHX4tQd6ifrWEACBnTnX15KWLKL4vxNdq71HXNQLdb9Bk7syR5YNzsLpDXg16qkJpyCKw5DRE7eArC36sZqY8L","2026-02-04T15:51:29.214Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"3Zf2H9cJJaD5cVPBpjHXRTCWmYZdyna5EnSHfjRVFtYT3X7o9rKovor3NmtwTrmHfjgzYePdxUDcd44Jm2eBKK8R","2026-02-04T15:51:29.243Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"F43ieGsJ5NCwnrEMSzka6XYiRS7Bn8DGGxoc4xxHmQW5XhtpVbNefqHg1vqHsydh5bi6t4e6hqpzxtUA1yU6RHP","2026-02-04T15:51:31.377Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"XSWWeM7tgshnvwG7cVj69QAqWtm8AkmpSLyn5AkG5XzjcWHqLowAfx5xhv8mnoBPkn4mQzd5byQhoFRLVsV9uE7","2026-02-04T15:51:31.402Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"RRbsC9HhNaAyu4tcqUwW7d8XYiHJjohER2Qp4H7GvA6cKaYdWMvzaLW54AndHwvHYK6MvpGwo1rf3NBAjnupSyX","2026-02-04T15:51:31.403Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4FkeYdsZjReXVURDnG2GKbqTdwp8yoV4gwUhHWqtDpuieWpBqW8PZvEeWr1mhk17nN1FhxiKwexR3gqcaTss8zsu","2026-02-04T15:51:31.412Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"3Ae6siHc59XzBX2xiiaNyJw9yyvDgaDdQME7JzTKEKVzHLQCtJUuc6UHitUTC5kRwVM4jg5iXP9iS2W3uythECK8","2026-02-04T15:51:32.092Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"48RuSoBQhaSmqEd58fuJeJJJDEXMJQ9dRQS73NZ49tGMiFKUZjB1GumLYkT1J2KyuuNuEegEg183dibc6A6SG82J","2026-02-04T15:51:32.181Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"2CwKadQPBKQzDxHJE51fw22zTfHskUBELrS4uTQxrxdqttw5PawaZL3pNoncnBiHrx6QHS3QELuEaLd2ZPVAsYFa","2026-02-04T15:51:33.130Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"216f7kAWJqSSdEWWt9PMdxdU9sYmFnRA1ReNU8CPUwJhrJA8sQqLc3kDYjrbjDQn2Dhawj1GNSHgUG4SWLS5XF6b","2026-02-04T15:51:33.140Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"Hu4cLPnVi4Tok39uFavDkqBFRo2Ej6wiHYbiahEqVXmLhPnEjq6yx27GvBpw1MA9iZ86DnN8wqheNL5nKk85PP7","2026-02-04T15:51:33.143Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"PJcHGouBjvifw36kjKAZfZhMtz2EdRnvFkmXRAnjhZ1qp9SgUkrR8ESFZrHHxijMMHkj2GxZPfwWPiyK3jtqd3N","2026-02-04T15:51:33.424Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"2oMYvK94AtBpA15qiBA2k3ye99xNr9zA436FoDfxRtk9tNHAugzi1hzwom6Wqg5SatEY9H9LdWqck9uffvS1b3Gf","2026-02-04T15:51:33.580Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"5Fogpi8dEwzw4Unw4zpYmuRsEoTfyXGKKFitE3XB1YZHmcvyEwpHm8mCgaYwZTgQq1zbXdbSQVra9ZZuCQfZ5TSJ","2026-02-04T15:51:33.736Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"5yVAfrhsAvoBg7p3rvo8B7DuLXY78LuykCExMDm8ib2akWoU5NX34GVJQWqWhKPZNkiEW9qrCcEcNdn3DQpfUknQ","2026-02-04T15:51:33.761Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"4s2aDR7xKYejHxdGme1EcebFFyZNmpMEj4qbWq7uTzGRxMiU1NxqeHnrXe335hwZsk6TNKujvhVJquDeDq679xsv","2026-02-04T15:51:33.777Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4kvrLhKKZX8eBxVGNvNEBHdEFkh9MaNPQrt3zWrQXkwh2NpK9taN1KrmSjnwmbAp1jG9SvLrR4xKJxUFpA6FK1GR","2026-02-04T15:51:34.291Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4dqbghDdxzsD2jfibw4UAJZaAtDZmvuaJAwESXrhnPoP77uTSzB3D8vPkjscvoGciY4JuKjggQizvX9kNGBLWU9z","2026-02-04T15:51:34.369Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"31UrSW7uf1qc5tmSsCensY6dwtFigbBsmRZaxt2fNcqCNgXsyg6uk1FPqTDpLpfBbv4KmKMutUgPu9kkJi5DPmeC","2026-02-04T15:51:35.570Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"5r52VQYPEJoo7qGihNNZPPy2yVvPnf7PSHzntfwsHDP2YsaRbkh3duBs7caxLx7VYzFKY7kSnGhJ3VqaoMSV5zgi","2026-02-04T15:51:35.832Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","below_minimum_value_threshold"
