signature,wallet,type,tokenIn,tokenOut,amountIn,amountOut,timestamp,confidence
5YXRQxSV3FNrDbrQ5v6D8pVtSdqy1Wp84ukyF9BwP3VVetNUBQBCHoUU85GxKnvshFVotw3pCxCTYxAbMmAYw3ty,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,BUY,SOL,6qJb...DXoC,3.06047828,84861508.553474,2026-02-17T22:00:27.000Z,100
5vZEnkFxA7TBNqP5UafNk7fWFe2MJv2Dvn8W3NQwG1JbfvKRWq6qzjrm3A3d2wMq5EwaZ3M1eTwhUM1G24EWPW2T,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,BUY,SOL,6qJb...DXoC,0.27000500099999997,3285935.191408,2026-02-17T22:00:27.000Z,100
45Zp7FAujJHbgc4KxKy7K3tptNsNkNxFuJT9JB2ttHNdh8JN8vdXXngu9tMxxDXNukph85KSGk9KhFcJ6q1ViBXq,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,BUY,SOL,6qJb...DXoC,0.27000500099999997,3248480.63208,2026-02-17T22:00:28.000Z,100
5HWups9VA6RRvtJVMPbhy64cZCYUf8pbv4eFRQaHtdZmT9XeqLKgfWTXfcrKe9TJDyRSYYmX2wX45SEsLTD7D9cs,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,263483.58139,17.114260894,2026-02-17T22:00:28.000Z,100
3oAYSNJcKCnv7Mvx5kF64YPWxCoBf5FSif8v2GpniNNUxAWBVSJ5MoLsLDV6egGU2FEDqgYhRVdKWvBWKtft3gVs,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,5sR5...zeTT,1.460161422,25164388.58555,2026-02-17T22:00:28.000Z,100
6ibRtA8YbGDHuH72uANgvZCsscWD3QTz8HLaQYUKLfGgYRBcR51DmufC1SbvnzV2oWYtWHhYSobZX8qPDdNguyY,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,SELL,6qJb...DXoC,SOL,22036860.93622,1.619996112,2026-02-17T22:00:28.000Z,100
32e2fbsExZHm1NYBcph6S3kKe2hMRnMnCxQP24hDLvWv8hUdHio5BmXTnYaDLXnmAM5MegkMANHyNJtsscWQXbnF,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,5sR5...zeTT,1.3313457770000001,17262683.662095,2026-02-17T22:00:28.000Z,100
3Q6eQx8qNLPmprZbuUNFrqwywvGR5w1PrkV1cTjCdxKyLhHf1Rey552b7nredT6BaH85pYmSuCP71NSyN9pF65Ng,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,SELL,6qJb...DXoC,SOL,22036860.93622,1.32156022,2026-02-17T22:00:28.000Z,100
4q6Q8ZJgpeptKG9ErVVFTBU5NKuMe1t3b5drLih9k5uYtETwss2ray2YgRVdewXmmXZo5tGu6VK5pTQ5AEdpF2RT,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,213421.700926,13.573252080000001,2026-02-17T22:00:29.000Z,100
5JmQVWvwCeLUQCEUbzbMvxbeJTwvYqZmh3BLCjs3xQTzqfji1r4cHWJekYc6mDXJuopqqT9ZcX422cTwVWfVunyW,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,237135.223251,15.14968324,2026-02-17T22:00:28.000Z,100
55EVmU9mXtUCpjsGYoGhgeJzUcstkv2i8uVzThjDYD3Smm7yjxXGbYAtwBQqwDxkyarUuYP2byA9KKQAYJae75uB,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,192079.530833,12.104260862,2026-02-17T22:00:30.000Z,100
p3dRzrzrEtHJyza6i97DdxWoujesr4K3nwZMC8vdvSt9jNg8ma6RsDmpgTzpvyDYS1ic1MMFB9VHQnNK7utB9cs,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,SELL,6qJb...DXoC,SOL,47322202.504522,2.010846065,2026-02-17T22:00:30.000Z,100
b4Qj6XTdtDbwnkkeTVpMiT5U9Hj52nSdeis4EfW48J4Fctqbh625CJ7A7Nr6JGyXYWMMfY1KjQEcUqPyBfuY7bf,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,5sR5...zeTT,0.053801419999999996,811448.998178,2026-02-17T22:00:30.000Z,100
539NUPcXhKcqWUq2HGkYBAgHkrNP1j8bsw4tkqCpEJAG6VLdYFr8aJgFGj9NQMBTGQak8Ev9wRmF4HvtNU7ZwYPy,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,5sR5...zeTT,0.052391952,738507.842853,2026-02-17T22:00:30.000Z,100
3iG9u2d3d88iTwQsXP9iFJvBtQziFzmPDMreAAobifUf4WAFc5v1s79mtR2Nd6whebJHTLn2oHiHQKckPAMBa5gM,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,432178.944375,26.597043284,2026-02-17T22:00:31.000Z,100
4tQVCytpWp8jMJDeFU1DKp9NZ7nBqEvgDn4eb8j3z37SfsJRHQ7FJwBnaNVzgshTap6MxL4tGuUM8JCu1Y1syitR,G2mgnzpr59vYjKpwU9q5zVfS9yQ9HezMwjuqF7LACvR4,SELL,BysD...pump,SOL,33818697.280343,1.073420829,2026-02-17T22:00:32.000Z,100
5Y95UBCg9eoex9WE6drxxnTSGVfsjrVAeAdzRgSCm5sWsSgZBFVc9a5o35fVQmLEub3fTP6wVV7HrBGewFEsq6EU,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,SELL,5sR5...zeTT,SOL,43977029.088676,1.921826703,2026-02-17T22:00:32.000Z,100
HSHP5En87SZPcC4fkGZZqADz8kxkc6NyY9kDS2anQsVFJaxPULSnHmWY6fyr6WTTEQWcLB3NTN7uUDTfipwEkTN,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,648268.416563,41.212800292000004,2026-02-17T22:00:33.000Z,100
5dPzKdmGXFBhtGurKDqEMJhKQumRKzdZnuxjV3NBQSgyZL2pj8ukiXTAAB5q1KuH9GrK8HWhGN59Z5KQ4zaNFRpi,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,SELL,HaUX...AHvi,SOL,648268.416563,38.980137194,2026-02-17T22:00:34.000Z,100
2YphUotwKrCdRxBwxeQyob4JFfuvXdkY5Xz8FNDDFF9drf6Z39JbaHq9Xdj3fntyRchLNXaqWdU8APo1hAzgEWW9,FhsSfTSHok3ryVfyuLSD1t9frc4c1ymyCr3S11Ci718z,BUY,SOL,HaUX...AHvi,5.000204999999999,154041.850567,2026-02-17T22:00:44.000Z,100
3RaUDPfVM9Q5yZDThMz52WXJcoLCyH4SjZBiWYNV4nPj7sSGEFfeCjX96TodGQa6vERCZ4f9bp7Y2HjMKZQjncTh,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.8437314700000003,87877.267068279,2026-02-17T22:00:48.000Z,100
4cNUu6r9YaMTsfMmaAs3cdGZ7G1FTCXTCj7x68xGHKbFabQYHyCKhwZaNqGPLrKPFV7BeAUkSfVxrk4AB9c5zV1J,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.9210368580000003,84288.972611359,2026-02-17T22:00:50.000Z,100
4sPFRu8j9athHYVhEVVWUqLbC8nb3xbitVRGirk2niAwf82aBiTREJZ2QqTcEXT3mYGQrPXoCinSMLo2aPC2QF7o,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.90616076,82972.156664115,2026-02-17T22:00:50.000Z,100
5uzKeWv5uUZC2SsuJeZsdgPQiynAv1LMXtBf41KFuCHM19w4BSWrSSrKX1eK9w8AGKtYiVPLGZSi4LQnSTWBaTGN,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.750098254,78304.105206875,2026-02-17T22:00:50.000Z,100
637wgeH9YvKHo9z5gmPtABWBZ93K5PYcwUooFSXnGYQke6LJAba3wSitmVCtuyNYZC2cqnnM5LHJiVYaG3V6B9aC,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.809397368,76733.526268984,2026-02-17T22:00:52.000Z,100
8kzUSgghmdzJaJAePQkF7nZPUY34oCBCGnfnJiDRTpwzSq3bYyvPxTuUJjd3uNdPc1aj3RgznptWoufKQU7jJh9,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.796643372,76687.375603133,2026-02-17T22:00:52.000Z,100
26uAscaF69ppVaFyb1CXWmH4GKAKx6mExNiBnEFczPgaX6nmxCzMjdUfGhJ5e36iHgaKe7yyuodfdNcHXYUQNdWM,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.834988504,77370.640145227,2026-02-17T22:00:52.000Z,100
5QEtWzTqNAdxBZFMzKVRKpmo9Ht9Waxt7GCAY3GFvN4QHGnCmdP7TfP8akm8twaFbdozSYe4DSvKRYXfhjnMyvc3,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,BUY,SOL,9pW7...pump,3.0300249989999997,80827835.527062,2026-02-17T22:00:58.000Z,100
3uvo5DWAaMCoyJ2jh9Rg5KtQ4tGP6ECRWycMgvudgrdY164KK1DUr9RcHFBu23q8R3dBxaiV19BEqZPPutSM4go9,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,SELL,9pW7...pump,SOL,80827835.527062,3.434784073,2026-02-17T22:01:08.000Z,100
4kPitHULugDzx5JNFvsR38iLRKKYop7WmmKuZ3DuMHtAr96arhBxCGTn99EkhaCJHVXHxeCJNCAx3C7mdBmS6d8E,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,2.993318212,90883.761256574,2026-02-17T22:01:19.000Z,100
3THD4w3gXfQ3L3DdwwTAJ6zcQmzrSP2xzGjbc7khD7DJsBz75N8q3VG2wMn3EgPAPffT2o9YgSPybMJg18thy2Tg,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,3.208849142,96555.51266165,2026-02-17T22:01:19.000Z,100
