signature,whale_address,ts_utc,shyft_result,shyft_erase_reason,shyft_direction,helius_result,helius_erase_reason,helius_direction,category,winner
4rDDaVrzy68H4n1Futajgm2vfyKkvK8Jng7EfzQckuWwnftxZpoMbLmbXwzGZPvR3HWWtqRb5LvaH3eBzQfPCdJA,sdPGX5Zgb2a8o67aHSAezHmcTHe8HRs8HotyHvzhEhT,2026-02-18T09:31:42.691Z,erase,transaction_failed,n/a,erase,invalid_asset_count,n/a,both_missed,none
5UUAxuxX4wXXGj6aVnj1EwtNZ3EGBAV6AZZGRA9ZbB9GE9iy3LfDHxdgfBTD361LEBGt3d1HGzttnw2pPeyH7XtH,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:43.004Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
3ahQuaNeRMjbQ89UtFgpN3wosd74RCpoHrEPMWrHwNjqh38kDBiFzvQ25hqYuHrSQcP5ez7ZfMfV1Cqf9izY5Tz8,AeHHtXdzLQDSNpMBVdq4JCj9ooiKH4apWFwt7gcc1ZPb,2026-02-18T09:31:47.621Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
2R3UFcCMBmzQZoSL2iNS8baifG6R7aswuPy4sT1Acac3oiXFtwirWjri7pZsnMnkNHqz9iupjAQJeVHtvtNUBwN8,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:31:49.911Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
EEgG5bUBRDZyFyxn9ddjSwZMUxhtv2mLR7U7MJXcbmebgvTekGTfKoJ6NUYDNQraSxJ1uTev7Jr5c1nWrWN7SBW,76iXe9yKFDjGv3HicUVVy8AYxHLC71L1wYa12zaZzHHp,2026-02-18T09:31:50.262Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
KX3S9oMvBMcosPVqW758KGZjMuhbxwsPoyUarTVBMxYbUBmMx7sbnvmXjP2uwXNuPWmgAPdVeb2ZEKehqZTvXyz,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:31:50.268Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3norD3qQjYCTiKmSmWfggCsNz2JYF1iXfV3q3dHh9HouDHCMEq9ihQTMhHWP1KbMQ1fGRbxtRJZbMTifcYCA6XBR,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:31:50.254Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
LkLPWJ95qpazgBa3WgUQZ21cPNuw8eDGPgrkVgN8iYEyU5Le8z8pbvfUY44hDm2NuR3auRyLcUk33wTCKwzLVDS,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:51.862Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
4JeJUp4cuY4uxKkt3g5gR4kDmcMZLGrrccwQsLVH1XQ5mWKVmDEycLqKxWGyLSbgGXopHasXRw8pNJ1tgW5h3mu4,9E4fv9BsJ2BwkNBXDeUgpJYtrYPheMQWYFcxGYxDFshX,2026-02-18T09:31:52.583Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
iQZWhDpyubJoYbwDcHXrK7iopBfbzHBv9dpLtbYV5xRZo9nNqtv3KNdcRhaRCEKVkRWktcGq6hRAUVEjgs3ju11,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:31:49.914Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
41WkMroDCGaRuKJNCRrbv5XdDM1JFe7LPfDmmCHdB8B6xK6zLbbaanoJNUXuGjp1AuwPjE4BcawUdp4SQDczVbJP,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:54.844Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
